stamp, x, y, theta
 1.67789e+09,14.6434, -0.847066, 0.00343769
 1.67789e+09,14.2072, -0.883536, 0.113697
 1.67789e+09,13.7261, -1.04032, 0.399096
 1.67789e+09,13.2617, -1.33873, 0.870377
 1.67789e+09,12.8511, -1.76124, 1.3387
 1.67789e+09,12.6645, -2.21658, 1.38615
 1.67789e+09,12.571, -2.65949, 1.45633
 1.67789e+09,12.4964, -3.14285, 1.39747
 1.67789e+09,12.4365, -3.66268, 1.34803
 1.67789e+09,12.3642, -4.14073, 1.34072
 1.67789e+09,12.2736, -4.59543, 1.29502
 1.67789e+09,12.1427, -5.02353, 1.2473
 1.67789e+09,12.0385, -5.42548, 1.27321
 1.67789e+09,11.8795, -5.82031, 1.2325
 1.67789e+09,11.6772, -6.29583, 1.21546
 1.67789e+09,11.5113, -6.73132, 1.25795
 1.67789e+09,11.3809, -7.21361, 1.32504
 1.67789e+09,11.307, -7.61613, 1.36178
 1.67789e+09,11.2527, -8.03098, 1.38138
 1.67789e+09,11.2365, -8.44898, 1.45716
 1.67789e+09,11.2226, -8.88672, 1.4795
 1.67789e+09,11.1903, -9.37273, 1.50328
 1.67789e+09,11.1681, -9.8636, 1.52469
 1.67789e+09,11.1255, -10.3756, 1.51467
 1.67789e+09,11.0762, -10.8791, 1.52204
 1.67789e+09,11.0183, -11.3944, 1.51133
 1.67789e+09,10.9637, -11.8967, 1.51484
 1.67789e+09,10.9372, -12.3641, 1.5453
 1.67789e+09,10.8821, -12.8481, 1.51853
 1.67789e+09,10.8415, -13.3403, 1.50816
 1.67789e+09,10.8082, -13.8033, 1.50501
 1.67789e+09,10.7875, -14.2831, 1.56293
 1.67789e+09,10.7833, -14.7389, 1.57794
 1.67789e+09,10.7511, -15.1963, 1.53005
 1.67789e+09,10.7009, -15.6401, 1.48964
 1.67789e+09,10.6764, -16.1001, 1.50351
 1.67789e+09,10.6533, -16.5548, 1.51305
 1.67789e+09,10.6099, -16.997, 1.4809
 1.67789e+09,10.5567, -17.4538, 1.46526
 1.67789e+09,10.517, -17.8928, 1.48547
 1.67789e+09,10.4992, -18.3194, 1.55801
 1.67789e+09,10.4693, -18.7563, 1.59141
 1.67789e+09,10.4198, -19.203, 1.51732
 1.67789e+09,10.3716, -19.6234, 1.4766
 1.67789e+09,10.3289, -20.0763, 1.47771
 1.67789e+09,10.3707, -20.5003, 1.61164
 1.67789e+09,10.6967, -20.9226, 2.07509
 1.67789e+09,11.0966, -21.1205, 2.44666
 1.67789e+09,11.5314, -21.2221, 2.74675
 1.67789e+09,12.0528, -21.2941, 2.90545
 1.67789e+09,12.5748, -21.3525, 3.03916
 1.67789e+09,13.1023, -21.3866, 3.08924
 1.67789e+09,13.5628, -21.4444, 3.0913
 1.67789e+09,13.9938, -21.4859, 3.12333
 1.67789e+09,14.5082, -21.4977, 3.13272
 1.67789e+09,15.0363, -21.5141, 3.05996
 1.67789e+09,15.554, -21.5227, 3.07314
 1.67789e+09,16.0552, -21.5226, 3.11895
 1.67789e+09,16.5728, -21.5351, 3.04326
 1.67789e+09,17.0325, -21.5459, 3.01288
 1.67789e+09,17.5037, -21.5884, 2.96899
 1.67789e+09,17.9622, -21.6321, 3.00124
 1.67789e+09,18.4229, -21.6874, 3.01002
 1.67789e+09,18.8819, -21.7444, 3.01878
 1.67789e+09,19.3185, -21.7847, 3.05024
 1.67789e+09,19.7306, -21.8224, 3.03082
 1.67789e+09,20.1886, -21.8572, 3.01581
 1.67789e+09,20.6095, -21.9132, 2.94912
 1.67789e+09,20.1898, -21.9056, 2.98051
 1.67789e+09,19.7618, -21.8519, 2.9863
 1.67789e+09,19.3523, -21.8282, 3.00312
 1.67789e+09,18.8602, -21.7953, 3.0021
 1.67789e+09,18.3727, -21.7542, 2.9635
 1.67789e+09,17.9539, -21.7263, 2.94983
 1.67789e+09,17.4903, -21.6917, 2.97451
 1.67789e+09,17.0782, -21.6479, 2.95458
 1.67789e+09,16.5748, -21.5723, 2.93102
 1.67789e+09,16.1292, -21.5109, 2.92893
 1.67789e+09,15.6644, -21.4136, 2.96165
 1.67789e+09,15.1916, -21.3044, 2.99083
 1.67789e+09,14.7587, -21.3005, 3.03253
 1.67789e+09,14.3546, -21.2593, 3.00448
 1.67789e+09,13.9402, -21.2696, 3.02876
 1.67789e+09,13.5303, -21.2674, 3.02408
 1.67789e+09,13.1254, -21.2684, 2.93088
 1.67789e+09,12.7007, -21.2296, 2.94645
 1.67789e+09,12.2708, -21.1892, 2.95817
 1.67789e+09,11.8493, -21.1636, 2.9447
 1.67789e+09,11.427, -21.1205, 2.81642
 1.67789e+09,11.0241, -21.1069, 2.52869
 1.67789e+09,10.6092, -21.0813, 2.14736
 1.67789e+09,10.1739, -21.0707, 1.69529
 1.67789e+09,9.89928, -21.0803, 1.32381
 1.67789e+09,9.57482, -21.152, 1.00676
 1.67789e+09,9.26875, -21.1597, 0.656126
 1.67789e+09,8.93517, -21.096, 0.327533
 1.67789e+09,8.58834, -20.9375, 0.0110995
 1.67789e+09,8.05138, -20.7574, 3.03566
 1.67789e+09,7.46555, -20.5877, 2.98605
 1.67789e+09,6.94639, -20.4575, 2.94582
 1.67789e+09,6.42978, -20.3811, 2.95691
 1.67789e+09,5.88004, -20.3248, 3.02017
 1.67789e+09,5.31822, -20.273, 3.02331
 1.67789e+09,4.77256, -20.2222, 3.09161
 1.67789e+09,4.21419, -20.2015, 0.0709594
 1.67789e+09,3.71884, -20.2444, 0.214794
 1.67789e+09,3.15108, -20.3259, 0.376169
 1.67789e+09,2.61095, -20.5235, 0.579249
 1.67789e+09,2.13484, -20.8563, 0.890175
 1.67789e+09,1.77857, -21.293, 1.18849
 1.67789e+09,1.59672, -21.7388, 1.29677
 1.67789e+09,1.51538, -22.1857, 1.36415
 1.67789e+09,1.45324, -22.7137, 1.38833
 1.67789e+09,1.43279, -23.131, 1.40902
 1.67789e+09,1.42721, -23.5527, 1.42913
 1.67789e+09,1.40563, -24.1096, 1.48083
 1.67789e+09,1.37771, -24.5548, 1.46941
 1.67789e+09,1.36156, -25.0434, 1.46694
 1.67789e+09,1.31923, -25.5138, 1.42043
 1.67789e+09,1.30172, -25.9992, 1.4231
 1.67789e+09,1.36586, -26.4306, 1.54909
 1.67789e+09,1.47417, -26.8869, 1.80799
 1.67789e+09,1.59109, -27.3542, 2.17013
 1.67789e+09,1.80365, -27.7763, 2.51105
 1.67789e+09,2.26625, -28.1555, 2.74849
 1.67789e+09,2.68759, -28.3442, 2.87792
 1.67789e+09,3.12064, -28.5117, 2.88797
 1.67789e+09,3.66414, -28.6584, 2.97971
 1.67789e+09,4.18659, -28.7511, 3.00998
 1.67789e+09,4.64708, -28.7479, 3.06004
 1.67789e+09,5.05487, -28.7321, 3.13515
 1.67789e+09,5.54162, -28.7474, 3.12923
 1.67789e+09,6.04556, -28.7746, 3.12486
 1.67789e+09,6.46226, -28.789, 3.10256
 1.67789e+09,6.92875, -28.8034, 3.06992
 1.67789e+09,7.44737, -28.8239, 3.06272
 1.67789e+09,7.84895, -28.8466, 3.06959
 1.67789e+09,8.35518, -28.8623, 3.06467
 1.67789e+09,8.7613, -28.9095, 3.0376
 1.67789e+09,9.22151, -28.9471, 3.0443
 1.67789e+09,9.61973, -28.9847, 3.03457
 1.67789e+09,10.0214, -29.0306, 3.02574
 1.67789e+09,10.525, -29.0859, 3.02298
 1.67789e+09,10.9807, -29.1321, 3.03729
 1.67789e+09,11.5055, -29.1876, 3.02912
 1.67789e+09,12.0198, -29.2388, 3.02691
 1.67789e+09,12.4863, -29.2814, 3.03476
 1.67789e+09,12.8987, -29.3193, 3.00924
 1.67789e+09,13.411, -29.3496, 2.98793
 1.67789e+09,13.8723, -29.3735, 3.00786
 1.67789e+09,14.3719, -29.3973, 3.04344
 1.67789e+09,14.8307, -29.4305, 3.03859
 1.67789e+09,15.3183, -29.4693, 3.03685
 1.67789e+09,15.7944, -29.5251, 3.04188
 1.67789e+09,16.2761, -29.581, 3.03414
 1.67789e+09,16.7588, -29.6268, 3.03557
 1.67789e+09,17.2453, -29.6688, 2.99976
 1.67789e+09,17.7102, -29.7223, 2.97545
 1.67789e+09,18.1277, -29.7727, 2.97591
 1.67789e+09,18.5759, -29.8256, 2.97159
 1.67789e+09,18.9903, -29.8775, 2.97236
 1.67789e+09,18.9735, -29.8864, 2.99238
 1.67789e+09,18.5212, -29.8733, 2.94653
 1.67789e+09,18.1096, -29.8337, 2.97626
 1.67789e+09,17.6643, -29.8042, 2.96758
 1.67789e+09,17.174, -29.7688, 2.95576
 1.67789e+09,16.75, -29.7391, 2.92943
 1.67789e+09,16.3399, -29.7037, 2.93017
 1.67789e+09,15.9307, -29.6662, 2.96145
 1.67789e+09,15.4994, -29.6134, 2.97996
 1.67789e+09,15.0888, -29.551, 3.00144
 1.67789e+09,14.6684, -29.5079, 3.01787
 1.67789e+09,14.218, -29.4733, 3.05119
 1.67789e+09,13.7652, -29.4144, 3.07658
 1.67789e+09,13.3342, -29.3684, 3.05554
 1.67789e+09,12.8927, -29.3177, 3.01632
 1.67789e+09,12.4661, -29.288, 2.99727
 1.67789e+09,12.0243, -29.2631, 3.01512
 1.67789e+09,11.6024, -29.2498, 3.0129
 1.67789e+09,11.1978, -29.1985, 2.99197
 1.67789e+09,10.7829, -29.1814, 3.0147
 1.67789e+09,10.3546, -29.1787, 3.0472
 1.67789e+09,9.91265, -29.1608, 3.08226
 1.67789e+09,9.46752, -29.1319, 3.04924
 1.67789e+09,9.01998, -29.093, 2.97578
 1.67789e+09,8.57483, -29.0555, 2.97335
 1.67789e+09,8.15921, -28.9812, 2.97412
 1.67789e+09,7.74037, -28.9367, 3.00641
 1.67789e+09,7.3072, -28.9057, 3.0347
 1.67789e+09,6.896, -28.8828, 3.05579
 1.67789e+09,6.4807, -28.8455, 3.04847
 1.67789e+09,6.05529, -28.833, 2.99195
 1.67789e+09,5.61076, -28.7841, 2.96764
 1.67789e+09,5.15892, -28.7149, 2.93479
 1.67789e+09,4.70689, -28.6261, 2.92201
 1.67789e+09,4.29751, -28.5471, 3.0042
 1.67789e+09,3.84971, -28.4642, 3.01655
 1.67789e+09,3.35874, -28.3716, 2.96933
 1.67789e+09,2.91727, -28.3302, 2.63297
 1.67789e+09,2.47698, -28.2652, 2.28435
 1.67789e+09,2.05694, -28.0763, 1.8696
 1.67789e+09,1.79198, -27.6414, 1.60828
 1.67789e+09,1.6941, -27.2195, 1.44664
 1.67789e+09,1.67644, -26.7237, 1.50253
 1.67789e+09,1.62986, -26.2481, 1.49637
 1.67789e+09,1.54623, -25.7847, 1.51505
 1.67789e+09,1.50589, -25.3193, 1.521
 1.67789e+09,1.45639, -24.8722, 1.45743
 1.67789e+09,1.4467, -24.3718, 1.38761
 1.67789e+09,1.46686, -23.8832, 1.36675
 1.67789e+09,1.5085, -23.442, 1.42723
 1.67789e+09,1.55925, -22.9667, 1.44907
 1.67789e+09,1.61971, -22.4927, 1.34909
 1.67789e+09,1.66505, -22.0797, 1.132
 1.67789e+09,1.8144, -21.6526, 0.855187
 1.67789e+09,2.06553, -21.2271, 0.496434
 1.67789e+09,2.49588, -20.872, 0.213471
 1.67789e+09,2.92735, -20.6455, 0.0283178
 1.67789e+09,3.37737, -20.5525, 0.0244311
 1.67789e+09,3.84062, -20.5288, 0.0326055
 1.67789e+09,4.31908, -20.4886, 0.0139228
 1.67789e+09,4.78914, -20.4837, 3.09575
 1.67789e+09,5.25394, -20.4893, 3.00391
 1.67789e+09,5.71322, -20.5104, 3.02894
 1.67789e+09,6.1851, -20.5292, 2.95911
 1.67789e+09,6.65125, -20.5411, 3.01739
 1.67789e+09,7.13558, -20.5555, 3.02784
 1.67789e+09,7.61427, -20.5916, 3.1208
 1.67789e+09,8.06663, -20.6299, 0.0902175
 1.67789e+09,8.52268, -20.682, 0.281455
 1.67789e+09,9.02331, -20.688, 0.600106
 1.67789e+09,9.42138, -20.6659, 0.878483
 1.67789e+09,9.86607, -20.3978, 1.15067
 1.67789e+09,10.1534, -20.0821, 1.30014
 1.67789e+09,10.3361, -19.6553, 1.32274
 1.67789e+09,10.4103, -19.1929, 1.39477
 1.67789e+09,10.4633, -18.7631, 1.37679
 1.67789e+09,10.537, -18.223, 1.3958
 1.67789e+09,10.5918, -17.7417, 1.41417
 1.67789e+09,10.654, -17.2994, 1.37598
 1.67789e+09,10.6703, -16.868, 1.41954
 1.67789e+09,10.6702, -16.3682, 1.41913
 1.67789e+09,10.6579, -15.9737, 1.43856
 1.67789e+09,10.6701, -15.5557, 1.43834
 1.67789e+09,10.7039, -15.1433, 1.40528
 1.67789e+09,10.7412, -14.7399, 1.41071
 1.67789e+09,10.7792, -14.3292, 1.42991
 1.67789e+09,10.8218, -13.9255, 1.46641
 1.67789e+09,10.8284, -13.5186, 1.46679
 1.67789e+09,10.84, -13.0779, 1.41403
 1.67789e+09,10.8343, -12.6208, 1.40996
 1.67789e+09,10.8763, -12.226, 1.40981
 1.67789e+09,10.8706, -11.8024, 1.39642
 1.67789e+09,10.8994, -11.3547, 1.43545
 1.67789e+09,10.9288, -10.8795, 1.42267
 1.67789e+09,10.9428, -10.401, 1.44531
 1.67789e+09,10.9594, -9.93605, 1.4863
 1.67789e+09,10.9922, -9.47273, 1.44248
 1.67789e+09,11.0268, -9.02632, 1.43514
 1.67789e+09,11.0544, -8.60744, 1.42094
 1.67789e+09,11.1196, -8.16465, 1.41278
 1.67789e+09,11.1721, -7.74092, 1.35137
 1.67789e+09,11.2579, -7.32649, 1.2819
 1.67789e+09,11.3627, -6.89128, 1.18505
 1.67789e+09,11.4851, -6.48152, 1.1896
 1.67789e+09,11.6577, -6.0565, 1.22767
 1.67789e+09,11.8186, -5.61627, 1.30356
 1.67789e+09,11.9525, -5.16141, 1.43811
 1.67789e+09,12.0667, -4.73597, 1.43049
 1.67789e+09,12.1586, -4.30138, 1.37435
 1.67789e+09,12.2317, -3.897, 1.36929
 1.67789e+09,12.2798, -3.45551, 1.4603
 1.67789e+09,12.3147, -3.01096, 1.46613
 1.67789e+09,12.3413, -2.57473, 1.32641
 1.67789e+09,12.3664, -2.13562, 0.988997
 1.67789e+09,12.4829, -1.69303, 0.547818
 1.67789e+09,12.7869, -1.28929, 0.172564
 1.67789e+09,13.2264, -1.03554, 3.0569
 1.67789e+09,13.667, -0.910591, 2.96474
 1.67789e+09,14.1202, -0.869913, 3.03728
 1.67789e+09,14.5671, -0.858286, 3.03008
 1.67789e+09,15.0132, -0.902517, 3.03027
 1.67789e+09,15.4444, -0.924803, 3.00031
 1.67789e+09,15.9246, -0.966051, 2.97147
 1.67789e+09,16.3587, -0.975677, 2.99685
 1.67789e+09,16.8341, -0.983233, 3.0085
 1.67789e+09,17.2153, -0.994149, 3.00997
 1.67789e+09,17.6408, -1.02208, 3.01821
 1.67789e+09,18.1281, -1.07837, 3.00926
 1.67789e+09,18.4728, -1.05908, 3.05847
 1.67789e+09,18.9459, -1.07634, 3.10599
 1.67789e+09,19.3475, -1.12107, 3.09183
 1.67789e+09,19.7705, -1.17047, 3.048
 1.67789e+09,20.282, -1.22694, 2.97659
 1.67789e+09,20.773, -1.30532, 2.9825
 1.67789e+09,21.2614, -1.39647, 2.99495
 1.67789e+09,21.7356, -1.4623, 3.03225
 1.67789e+09,22.1808, -1.5154, 3.05324
 1.67789e+09,22.663, -1.54976, 3.09457
 1.67789e+09,23.1126, -1.53202, 2.95481
 1.67789e+09,23.5265, -1.45144, 2.78779
 1.67789e+09,23.9374, -1.52991, 0.224513
 1.67789e+09,24.3599, -1.39348, 1.05981
 1.67789e+09,24.6334, -0.983938, 1.60667
 1.67789e+09,24.7307, -0.567485, 1.62521
 1.67789e+09,24.72, -0.0804433, 1.5751
 1.67789e+09,24.7113, 0.475784, 1.60215
 1.67789e+09,24.6228, 0.924149, 1.4704
 1.67789e+09,24.562, 1.39271, 1.42432
 1.67789e+09,24.4946, 1.87635, 1.4172
 1.67789e+09,24.4684, 2.36413, 1.46791
 